商品标题,商品规格,单价
【缤润汇/鹿町堂】仅9.9元抢门市价23元A套餐：招牌吐司4选一，或门市价21元B套餐芒芒大爆榨/爆汁葡萄， 二选 一 ，更多美味~总有一款适合你安排！,鹿町堂:A:吐司四选一 ,9.9
【新街口】25元抢原价50元苏香食里美食广场全场通用卡一张（馋游记、蒸菜世家、鱼之乐纸包鱼、刘酥肉除外）种类丰富又美味总能“命中”你的心和胃~！,,25.0
【大行宫/执牛耳火锅自助】69元抢门市价118元单人自助，129元抢门市价236元双人自助。午晚通用，空前优惠，赶紧行动！快来抢购！！,自助:双人火锅自助,129.0
【下马坊地铁站4号口/5寸杨汁甘露爆浆蛋糕】19.9元抢门市价88元蛋糕一个，39.9元抢门市价188元蛋糕1份+满天星/桔梗/小雏菊随机小花束1束(颜色随机)，来花吖，鲜花蛋糕全都满足你，仪式感满满~,花吖:5寸杨汁甘露爆浆蛋糕1份 ,19.9
【新街口莱迪广场】仅19.9元抢原价28元老外的果子烤榴莲1份（约80g）烤制过的榴莲味道更加浓郁，千万不能错过~,,19.9
【龙眠大道地铁站】仅59.9元抢原价220元汉城山烤肉超值2-3人餐！5荤2素+海苔手握饭+柠檬水41扎！满满肉香福利，就等你来体验~,,59.9
【多店通用/穿巷蓉李记】19.9元抢门市价46元A：单人套餐，76元抢门市价134元B：2-3人餐，太划算了吧！赶紧下单~,穿巷蓉李记:A：酸辣粉或担担面（二选一） 韭香薄脆1份 孜然土豆1份 ,19.9
【全国包邮】仅199元抢原价550元纪梵希四宫格散粉，四种色号任选其一！四色融合，一步定格美颜~,,199.0
【驱蚊喷雾】9.9元抢门市价39.9元Soffell 驱蚊喷雾两瓶（橘子味、玫瑰味各一瓶） 30ml/瓶 ，泰国配方，持久驱蚊~,,9.9
【全国包邮】9.9元抢门市价39.9元，椰香小熊饼干整箱400克或沙琪玛400g（二选一），采用真材实料，香甜不腻，老少皆宜。,饼干沙琪玛: 葡萄沙琪玛400g ,9.9
【同曦万尚城】仅99元抢门市价489元巷口往事花胶鸡+烤串3-4人超值套餐，火锅和烧烤同时体验味觉上的双重满足，吃货们快来享受吧~！,,99.0
【两店通用】99元抢门市价349元颐品居2-3人套餐，羊骨锅+新鲜牛吊龙、嫩羊肉＋一片云羊肉以及各种丰富的菜品，满屏肉香，冲鸭~,,99.0
【新街口/明泰谷】128元抢价值308元双人套餐！纯血统泰国菜，用异域的味道唤醒沉睡的味蕾！,,128.0
【兰芝防晒隔离霜】仅88元抢原价139元韩国兰芝防晒隔离霜30ml，紫色/绿色二选一，好肌肤“隔”出来~快给肌肤穿上防护衣吧,色号:紫色 ,88.0
【老门东】仅22.9元抢原价56元张氏生煎特惠双人套餐：招牌小鱼锅贴1份+招牌铁板豆腐1份+橙意满满1杯+百香果满满1杯！丰盛的特色风味，你还等什么？,,22.9
【预售南京金鹰奇幻森林萌宠乐园】29元抢门市价59元“疯狂动物城”单人票，早鸟票，零距离撸遍蓝孔雀、鸟园、香猪、羊驼...超满足哦！,,29.0
【建邺区水西门大街】仅49.9元抢原价166元羊老爷烤鱼套餐/碳烤牛蛙套餐！清江鱼3斤/牛蛙1份+蔬菜四份＋椒盐花生＋蒜泥黄瓜＋大红虾4只！碳烤美味冲鸭~,套餐:烤鱼套餐,49.9
【全南京6店通用】仅38.8元抢原价488元付氏女子养发育发馆超值套餐！七个护理项目，男女不限哦！喊上周围有「秃头」危机的朋友好好去护理一下吧~,,38.8
【3号线新庄站】仅19.9元抢原价680元SAOK Club套餐！酒水一份+一份果盘+小吃一份+一扎橙汁！超嗨现场等你来~,,19.9
【三店通用】37.5元抢门市价43元发财铺网红脆皮五花肉一份，外酥里嫩、酥脆蓬松的脆皮五花肉，  小伙伴们可不要错过了哦！,,37.5
【迪奥烈艳蓝金口红】149元抢门市价330元迪奥烈艳蓝金口红六种热门色号可选！官方授权，保证正品支持专柜验货！买！不买不是仙女！,,149.0
【大行宫/执牛耳火锅自助】69元抢门市价118元单人自助，129元抢门市价236元双人自助。午晚通用，空前优惠，赶紧行动！快来抢购！！,自助:单人火锅自助 ,69.0
【缤润汇/鹿町堂】仅9.9元抢门市价23元A套餐：招牌吐司4选一，或门市价21元B套餐芒芒大爆榨/爆汁葡萄， 二选 一 ，更多美味~总有一款适合你安排！,鹿町堂:B:饮品二选一,9.9
【建邺乐基广场】仅78元抢原价1192元芝芯堂套餐！伏魔灸+中医乳腺疏通+扶阳肩颈理疗+五行能量排毒，超多项目一次满足！放松身体，悄悄变美~,,78.0
【秦淮区】仅19.9元抢门市价39元高压锅蒸汽生蚝10只，仅99元抢门市价240元双人餐，饕餮海鲜盛宴，手掌大的生蚝！,耗鲜生‘:A：生蚝套餐 ,19.9
【秦淮区】仅19.9元抢门市价39元高压锅蒸汽生蚝10只，仅99元抢门市价240元双人餐，饕餮海鲜盛宴，手掌大的生蚝！,耗鲜生‘:B:双人套餐,99.0
【新街口国际贸易中心】仅19.9元抢原价230元米兰音乐吧特惠A套餐：雪花纯生啤酒6瓶+2份小食，88元抢原价570元特惠B套餐：啤酒12瓶（3选一）+3份小食,套餐:特惠B套餐,88.0
【杨柳湖景区】仅25.9元抢原价49.9元瑞硕亲子农庄龙虾垂钓套餐，49.9元抢原价129元自然采摘教育套餐！超多亲子活动等你来玩哦~,套餐:自然采摘套餐,49.9
【限江浙沪皖包邮/京东专线配送】仅68元抢原价98元【阳山水蜜桃】4-5两8只装精品礼盒，80元抢原价118元5-6两8只装精品礼盒！珍稀早桃，邀请你一起感受最早的甜蜜,套餐:5-6两8只装精品礼盒,80.0
【限南京包邮/五香居】仅49.9元抢购门市价68元你好鸭组合套餐：鸭脖1盒＋鸭锁骨1盒＋豆干1盒，微辣口味老少皆宜，赶快抢购吧！！,,49.9
【新街口莱迪广场】仅8.8元抢原价17元8街壹号奶茶A套餐：凤梨养乐多一杯；17.8元抢原价34元B套餐：抹茶星冰乐一杯+四季春鲜牛乳一杯！一分价格！五星品质！十分治愈！快带上小伙伴一起来吧~,套餐:套餐A:凤梨养乐多 ,8.8
【三店通用/经络堂——点评网推荐五星好店】仅69元抢门市价680元A套餐：包含7种养生项目 仅79元抢门市价798元B套餐：A套餐+v品水润酵素洁面泡沫一瓶，去经络堂遇见更美的自己吧！,经络堂:A套餐,69.0
【南京全城包邮】76.9元抢原价128元君乐宝简.醇酸奶1箱/涨芝士啦酸奶1箱，老少皆宜！ ,,76.9
【慢面包/8店通用】仅35.9元抢原价65元九宫格甜品一盒！9块蛋糕、5种口味！精致的生活怎么能少了小蛋糕呢~,,35.9
【大行宫】仅68元抢门市价198元绿食居双人餐，仅99元抢门市价380元3-4人餐，吃淮扬菜！专属老南京人的餐厅~,绿食居:B:3-4人餐,99.0
【全国包邮】仅69.9元抢原价110元日本娜丽丝防晒喷雾2瓶装（90g/瓶）超多明星都在用，古力娜扎同款，快get起来吧~,,69.9
【中山东路】仅39元抢原价580元延龄牙科门诊套餐！深度口腔体检+进口超声波洁+进口喷砂+全口护釉抛光！让你的牙齿闪亮起来~,,39.0
【3号线浮桥站】仅68元抢门市价2940元美范美肤塑形套餐种项目任选，让您在变美的路上一去不复返！,,68.0
【中山路/艾尚天地】39.9元抢门市价112元三生糖水超值养生下午茶，约上好友，一起享受一下美味的下午茶，完美！,,39.9
【全国通用】仅9.9元抢原价199元有车云加油打折年卡一张！每年约可抵扣加油金额2000元！自由出行，加油其实很简单~,,9.9
【9店通用】26.9元抢原价58元-18°冰激凌套餐梦龙经典款+巧乐兹四个圈+索菲亚威化+可爱多经典款 +韩国进口宾格瑞+光明冰砖,,26.9
【应天大街/烧烤夜宵】仅19.8元抢原价94元羊小弟烧烤A套餐：3荤3素！118元抢原价237元B套餐：小龙虾3斤+5荤4素+扎啤1泡！美味烧烤、小龙虾都在这里等你~,套餐:B套餐,118.0
【全国包邮】9.9元抢门市价39.9元，椰香小熊饼干整箱400克或沙琪玛400g（二选一），采用真材实料，香甜不腻，老少皆宜。,饼干沙琪玛:椰香小熊饼干整箱400克,9.9
【大行宫】仅68元抢门市价198元绿食居双人餐，仅99元抢门市价380元3-4人餐，吃淮扬菜！专属老南京人的餐厅~,绿食居:A：双人餐 ,68.0
【应天大街/烧烤夜宵】仅19.8元抢原价94元羊小弟烧烤A套餐：3荤3素！118元抢原价237元B套餐：小龙虾3斤+5荤4素+扎啤1泡！美味烧烤、小龙虾都在这里等你~,套餐:A套餐 ,19.8
【夫子庙】仅24.9元抢原价76元乌衣巷小吃城南京特色小吃套餐！南京鸭血粉丝汤2份+金陵灌汤小笼包1份！,,24.9
【新街口莱迪广场】仅8.8元抢原价17元8街壹号奶茶A套餐：凤梨养乐多一杯；17.8元抢原价34元B套餐：抹茶星冰乐一杯+四季春鲜牛乳一杯！一分价格！五星品质！十分治愈！快带上小伙伴一起来吧~,套餐:套餐B:抹茶星冰乐 四季春鲜牛乳,17.8
【新街口】25元抢原价50元苏香食里美食广场全场通用卡一张（馋游记、鱼之乐纸包鱼、刘酥肉除外）种类丰富又美味总能“命中”你的心和胃~！,,25.0
【超值福利/潮流断货王】98元抢原价170元MAC魅可热门色号口红，不可错过的几只口红，显白又平价 ！火爆全宇宙的MAC口红，谁涂谁好看！ ,,98.0
【新街口国际贸易中心】仅19.9元抢原价230元米兰音乐吧特惠A套餐：雪花纯生啤酒6瓶+2份小食，88元抢原价570元特惠B套餐：啤酒12瓶（3选一）+3份小食,套餐:特惠A套餐 ,19.9
【三店通用/经络堂——点评网推荐五星好店】仅69元抢门市价680元A套餐：包含7种养生项目 仅79元抢门市价798元B套餐：A套餐+v品水润酵素洁面泡沫一瓶，去经络堂遇见更美的自己吧！,经络堂:B套餐,79.0
【江宁同曦鸣城】仅29.9元抢原价128元淓淓牛肉馆超值双人餐！锅底+特色卤味牛全套(5荤)+2素以及其他美味菜品！特色卤味等你来品尝哦~,,29.9
【汉中门大街】39.9元抢门市价398元LOUIS轻奢美容美体套餐，面部清洁补水，水氧活肤；芳香精油背部SPA；丝滑脱毛， 三选 二 精致女孩快快走起！~,,39.9
【两店通用】39.9元抢门市价1720元圣梦亲体美肤套餐，专业解决皮肤困惑，还你饱满水光肌~,,39.9
【建邺区水西门大街】仅49.9元抢原价166元羊老爷烤鱼套餐/碳烤牛蛙套餐！清江鱼3斤/牛蛙1份+蔬菜四份＋椒盐花生＋蒜泥黄瓜＋大红虾4只！碳烤美味冲鸭~,套餐:牛蛙套餐 ,49.9
【全国顺丰包邮】仅75元抢原价138元瑞小鲜原肉整切，调理牛排6片装(黑椒口味) 每片150g，送6份料包！让你在家就能享受高级西餐厅里的美味牛排~,,75.0
【仙鹤街】仅148元抢门市价498元清蒸大闸蟹10只（约3两每只）+蟹醋一瓶，仅99元抢门市价398元香辣蟹10只（约1.5两每只）+（素菜随机六选 四），可堂食可打包~快来抢购~！,螃蟹:A:清蒸大闸蟹 ,148.0
【太阳宫广场】仅9.9元抢门市价288元太阳宫潮艺夜市现场礼包，来畅聊潮流文化，吃喝美食， 玩转潮流，嗨翻现场！！,,9.9
【森林摩尔】仅59元抢购原价154元辣味颂双人套餐，锅底+牛蛙4只+嫩爽鸭血+娃娃菜+玫瑰冰粉2份+特制酸梅汁，香气四溢、辣而不燥~,,59.0
【42店通用/南京 镇江 马鞍山】9.9元抢原价60元特惠洗车套餐：标准洗车+安全检测+玻璃水；错过等一年！全国连锁！,,9.9
【仙鹤街】仅59.9元抢门市价188元食神龙虾5斤龙虾，仅99元抢门市价378元食神龙虾10斤龙虾，十三香、清水、香辣三选 一，可堂食可打包~快来抢购~！,龙虾:A：5斤龙虾 ,59.9
【仙鹤街】仅59.9元抢门市价188元食神龙虾5斤龙虾，仅99元抢门市价378元食神龙虾10斤龙虾，十三香、清水、香辣三选 一，可堂食可打包~快来抢购~！,龙虾:B:10斤龙虾,99.0
【仙鹤街】仅148元抢门市价498元清蒸大闸蟹10只（约3两每只）+蟹醋一瓶，仅99元抢门市价398元香辣蟹10只（约1.5两每只）+（素菜随机六选 四），可堂食可打包~快来抢购~！,螃蟹:B:香辣蟹,99.0
【汤山私汤温泉住宿】299元抢原价888元维也纳国际大酒店私汤房型！2人1晚私汤房型+双人早餐+2瓶饮料+果盘，周末不加价！超值优惠，让你尽情享受泡温泉的休闲惬意！,,299.0
【下马坊地铁口】仅88元抢门市价178元老厨人深海炖锅2人特惠套餐，7种炖锅可选， 川味海带丝+水煮花生米+米饭2份，特色炖锅，品种多样，健康营养。,,88.0
【全南京区域】仅69元抢门市价189元两台挂式空调清洗，南京小时候空调清洗免费上门，多步清洁，让您安心过个清爽舒服的夏天~！,,69.0
【两店通用】98元抢门市价284元1432德国花园餐厅特惠套餐，让您不飞德国吃正宗德餐，带着你的小伙伴快来打卡吧~,,98.0
【江浙沪包邮】无锡阳山水蜜桃88元抢门市价118元水蜜桃一箱，149元抢门市价230元水蜜桃两箱，规格6～7两，每箱8只装，新鲜，从每天一个阳山水蜜桃开始~,阳山水蜜桃:A：一箱水蜜桃 ,88.0
【大行宫地区】仅19.9元抢原价80元的知足堂养生会所超值采耳套餐！仅59元抢原价156元的知足堂养生会所超值足疗套餐！犒赏忙碌的你！不要太划算哦！,知足堂养生会所:A套餐,19.9
【全国通用】仅38元抢价值1000元寄居蟹旅行民宿体验卡！1间1晚或2晚入住网红民宿！全国70家精品民宿任你选，快来一次说走就走的旅行~,,38.0
【武定门/炽道串店】仅29.9元抢门市价88元特惠烧烤套餐，仅79元抢门市价198.5元超值2-3人烧烤套餐 ；心动不如行动， 快带着你的小伙伴来发掘美食吧~！,炽道串店:B：炽道串店超值2-3人烧烤套餐,79.0
【江宁义乌商贸城】仅29.9元抢原价38元青桔和木鱼网红糕点A套餐，2款人气糕点！仅49.9元抢原价81元B套餐，4款网红热销糕点！爱吃甜品的千万别错过~,套餐:A套餐：2款糕点 ,29.9
【江宁义乌商贸城】仅29.9元抢原价38元青桔和木鱼网红糕点A套餐，2款人气糕点！仅49.9元抢原价81元B套餐，4款网红热销糕点！爱吃甜品的千万别错过~,套餐:B套餐：4款糕点,49.9
【武定门/炽道串店】仅29.9元抢门市价88元特惠烧烤套餐，仅79元抢门市价198.5元超值2-3人烧烤套餐 ；心动不如行动， 快带着你的小伙伴来发掘美食吧~！,炽道串店:A：炽道串店特惠烧烤套餐 ,29.9
【大行宫地区】仅19.9元抢原价80元的知足堂养生会所超值采耳套餐！仅59元抢原价156元的知足堂养生会所超值足疗套餐！犒赏忙碌的你！不要太划算哦！,知足堂养生会所:B套餐,59.0
【全国包邮】仅29.9元抢原价49.9元小养夹心海苔6罐装！三种口味：炒米/南瓜子/巴旦木，每种口味2罐！开袋即食 想怎么吃就怎么吃 ~,,29.9
【玄武区钟鼎名悦】仅88元抢原价308元徒手餐厅超值3人餐！海鲜+鸡爪+配菜的干锅爱马仕+特色气泡鸡+蒜泥黄瓜+特调饮品2杯！快来享受海鲜盛宴吧~,,88.0
【玄武区/碑亭巷】仅29.9元抢原价72元源记潮汕砂锅粥A套餐：酸菜鱼+时蔬+米饭，79元抢原价209元B套餐：对虾&菜心砂锅粥+蒜蓉铁板虾+葱油饼+培根包菜,套餐:A套餐 ,29.9
【江宁/大塘金】仅9.9元抢门市价138元大塘金夜夏山城纳凉节早鸟票一张！49.9元抢138元通票一张！漫步天宫云端，享受梦幻灯光~,门票:早鸟票 ,9.9
预售【云海亲水汤城】仅59.9元抢原价138元单人门票+单人自助（午餐或晚餐任选一餐）！100多种美食，烤鸭/牛排/海鲜.......手慢即无宝宝千万别错过，这个夏天，就来云海过~,,59.9
【江宁/大塘金】仅9.9元抢门市价138元大塘金夜夏山城纳凉节早鸟票一张！49.9元抢138元通票一张！漫步天宫云端，享受梦幻灯光~,门票:通票,49.9
【德盈国际广场】新店开业钜惠！仅38元抢原价1340元L.SPA美容美甲套餐：小气泡+纯色美甲+脱毛一次+四肢疏通+肩颈按摩！五大项目，让你从头美到指尖~,,38.0
【玄武区/碑亭巷】仅29.9元抢原价72元源记潮汕砂锅粥A套餐：酸菜鱼+时蔬+米饭，79元抢原价209元B套餐：对虾&菜心砂锅粥+蒜蓉铁板虾+葱油饼+培根包菜,套餐:B套餐,79.0
预售【南京南站/海韵之星限时抢购】109元抢门市价218元海韵之星油轮单人船票+自助餐（一餐）+台湾美食，网红邮轮泳池， 更有免费不限量的咖啡/冰淇淋/小点心~，纯正的韩式汗蒸养生，一站式的休闲娱乐~！,,109.0
【江宁区金箔路/碉堡烤鱼】仅69元抢原价198元特惠2-3人餐，清江鱼一条约3斤+配菜4个+酸梅汁一扎+米饭2份！辛香麻辣的烤鱼，快约上朋友一起去~,,69.0
【应天大街，无需预约】78元抢门市价208元羊小弟火锅双人套餐~超值套餐，内容丰富，赶紧准备好你256G的胃约起来~ ,,78.0
【江浙沪包邮】无锡阳山水蜜桃88元抢门市价118元水蜜桃一箱，149元抢门市价230元水蜜桃两箱，规格6～7两，每箱8只装，新鲜，从每天一个阳山水蜜桃开始~,阳山水蜜桃:B：两箱水蜜桃,149.0
【江宁区金箔路/碉堡烤鱼】仅69元抢原价198元特惠2-3人餐，烤鱼一条约3斤+配菜4个+酸梅汁一扎+米饭2份！辛香麻辣的烤鱼，快约上朋友一起去~,,69.0
【直播间限时秒杀20份】仅24.9元抢原价38元青桔和木鱼网红糕点A套餐，2款人气糕点！仅44.9元抢原价81元B套餐，4款网红热销糕点！爱吃甜品的千万别错过~,套餐:B套餐：4款糕点,44.9
【直播间限时秒杀10份】仅28元抢价值1000元寄居蟹旅行民宿体验卡！1间1晚或2晚入住网红民宿！全国70家精品民宿任你选，快来一次说走就走的旅行~,,28.0
【直播间限时秒杀20份】仅24.9元抢原价38元青桔和木鱼网红糕点A套餐，2款人气糕点！仅44.9元抢原价81元B套餐，4款网红热销糕点！爱吃甜品的千万别错过~,套餐:A套餐：2款糕点 ,24.9
【直播间限时秒杀20份】仅54.9元抢门市价188元食神龙虾5斤龙虾，仅91元抢门市价378元食神龙虾10斤龙虾，十三香、清水、香辣三选 一，可堂食可打包~快来抢购~！,龙虾:A：5斤龙虾 ,54.9
【直播间限时秒杀30份】仅6.9元抢门市价138元大塘金夜夏山城纳凉节早鸟票一张！39.9元抢138元通票一张！漫步天宫云端，享受梦幻灯光~通票买一送一，下单后加客服微信17372756549领取赠票,门票:早鸟票 ,6.9
【直播间限时秒杀30份】仅14.9元 抢门市价22元圣代两个（北美蓝莓/冲绳黑糖 ）仅21.9元抢门市价33元老北京鸡肉卷两份，仅22.9元抢门市价38元大杯原味冰拿铁两杯。,肯德基1:B：老北京鸡肉卷*2,21.9
【直播间限时秒杀】84元抢门市价284元1432德国花园餐厅特惠套餐，让您不飞德国吃正宗德餐，带着你的小伙伴快来打卡吧~,,84.0
【新街口】仅24.9元抢原价75元瑭萃烘焙国风下午茶套餐！ 2个鲜果雪媚娘+2个红豆麻薯蛋黄酥+8颗葡萄酥！享受美味，从甜点开始~,,24.9
【直播间限时秒杀30份】仅14.9元 抢门市价22元圣代两个（北美蓝莓/冲绳黑糖 ）仅21.9元抢门市价33元老北京鸡肉卷两份，仅22.9元抢门市价38元大杯原味冰拿铁两杯。,肯德基1:A:  圣代*2 ,14.9
【直播间限时秒杀30份】仅6.9元抢门市价138元大塘金夜夏山城纳凉节早鸟票一张！39.9元抢138元通票一张！漫步天宫云端，享受梦幻灯光~通票买一送一，下单后加客服微信17372756549领取赠票,门票:通票,39.9
【直播间限时秒杀20份】仅54.9元抢门市价188元食神龙虾5斤龙虾，仅91元抢门市价378元食神龙虾10斤龙虾，十三香、清水、香辣三选 一，可堂食可打包~快来抢购~！,龙虾:B:10斤龙虾,91.0
【直播间限时秒杀30份】仅14.9元 抢门市价22元圣代两个（北美蓝莓/冲绳黑糖 ）仅21.9元抢门市价33元老北京鸡肉卷两份，仅22.9元抢门市价38元大杯原味冰拿铁两杯。,肯德基1:C:  大杯原味冰拿铁,22.9
【直播间限时秒杀20份】无锡阳山水蜜桃83元抢门市价118元水蜜桃一箱，144元抢门市价230元水蜜桃两箱，规格6～7两，每箱8只装，新鲜，从每天一个阳山水蜜桃开始~,阳山水蜜桃:A：一箱水蜜桃 ,83.0
【南京四店通用/云海肴】仅166元抢原价220.8元云海肴汽锅鸡1份+个旧烤猪蹄1份+黑三剁1份+小锅米线1份+米饭3份3人套餐！超值美味！盘它！来云海肴享云南美味吧~	,,166.0
【直播间限时秒杀20份】仅29.9元抢原价72元源记潮汕砂锅粥A套餐：酸菜鱼+时蔬+米饭，79元抢原价209元B套餐：对虾&菜心砂锅粥+蒜蓉铁板虾+葱油饼+培根包菜，下单B套餐赠送A套餐，加客服微信17372756549,套餐:B套餐,79.0
【南京不老村】69.9元抢门市价129元不老村道名啤酒花园烧烤星空套餐，吃烧烤看星空看电影，三五好友家人朋友欢乐不老村！,,69.9
【高淳金沙水城】仅19.9元抢原价39元单人浴资+简餐！泡澡+美食一站体验，快让自己来好好放松一下吧~,,19.9
【预售/银杏湖乐园】仅199元抢原价260元单人全园畅玩票！260元抢原价520元双人全园畅玩票！水世界+过山车+大摆锤+城堡漂流……一票全园全天畅玩~,套餐:单人全园畅玩票 ,199.0
【途居扬州房车露营地】仅299元抢门市价1599元途居扬州房车+水上乐园/烧烤架二选一特惠套餐，房车可住3人，水世界门票两张，超级划算！这个夏天来扬州体验不一样的旅行吧 ！,,299.0
【玄武区/碑亭巷】仅29.9元抢原价72元源记潮汕砂锅粥A套餐：酸菜鱼+时蔬+米饭，79元抢原价209元B套餐：对虾&菜心砂锅粥+蒜蓉铁板虾+葱油饼+培根包菜,,29.9
【江宁/大塘金】仅9.9元抢门市价138元大塘金夜夏山城纳凉节早鸟票一张！49.9元抢138元通票一张！漫步天宫云端，享受梦幻灯光~,,49.9
【KFC肯德基/全国通用】仅17.9元 抢门市价22元圣代两个（北美蓝莓/冲绳黑糖 ）仅24.9元抢门市价33元老北京鸡肉卷两份，仅25.9元抢门市价38元大杯原味冰拿铁两杯。,肯德基:C：大杯原味拿铁*2,25.9
【KFC肯德基/全国通用】仅17.9元 抢门市价22元圣代两个（北美蓝莓/冲绳黑糖 ）仅24.9元抢门市价33元老北京鸡肉卷两份，仅25.9元抢门市价38元大杯原味冰拿铁两杯。,肯德基:B：老北京鸡肉卷*2,24.9
【张府园地铁站】仅9.9元抢原价15元柒也家招牌手打虾滑1份，15.9元抢原价27元鸿运当头蟹柳1份+招牌手打虾滑1份，享受空口吃虾滑的快乐~,套餐:A：招牌手工虾滑1份 ,9.9
【KFC肯德基/全国通用】仅17.9元 抢门市价22元圣代两个（北美蓝莓/冲绳黑糖 ）仅24.9元抢门市价33元老北京鸡肉卷两份，仅25.9元抢门市价38元大杯原味冰拿铁两杯。,肯德基:A：圣代*2 ,17.9
【江宁义乌商贸城】仅29.9元抢原价38元青桔和木鱼网红糕点A套餐，2款人气糕点！仅49.9元抢原价81元B套餐，4款网红热销糕点！爱吃甜品的千万别错过~,,29.9
【枫彩漫城】仅39.9元抢原价180元2大1小亲子套餐，畅玩景区！百亩梦幻花海，还有超多娱乐尽在枫彩漫城等你~,,39.9
【茂业天地店/吾悦广场店/九霄梦天地店/江宁保利樾店】39.9元抢原价80元星轶影城电影票2张，2D/3D通用，Super神级影院！,,39.9
【全国包邮】仅13.9元抢原价36元北海道圆脆饼干一箱6袋装！口味4选1： 豆乳味、蔬菜味、牛乳味、海盐味，奶香十足，香脆可口，快来一袋尝尝~,,13.9
【KFC肯德基/全国通用】仅17.9元 抢门市价22元圣代两个（北美蓝莓 ）仅24.9元抢门市价33元老北京鸡肉卷两份，仅25.9元抢门市价38元大杯原味冰拿铁两杯。,肯德基:C：大杯原味拿铁*2,25.9
【KFC肯德基/全国通用】仅17.9元 抢门市价22元圣代两个（北美蓝莓 ）仅24.9元抢门市价33元老北京鸡肉卷两份，仅25.9元抢门市价38元大杯原味冰拿铁两杯。,肯德基:A：圣代*2 ,17.9
【张府园地铁站】仅9.9元抢原价15元柒也家招牌手打虾滑1份，15.9元抢原价27元鸿运当头蟹柳1份+招牌手打虾滑1份，享受空口吃虾滑的快乐~,套餐:B：鸿运当头蟹柳1份 招牌手工虾滑1份,15.9
【KFC肯德基/全国通用】仅17.9元 抢门市价22元圣代两个（北美蓝莓 ）仅24.9元抢门市价33元老北京鸡肉卷两份，仅25.9元抢门市价38元大杯原味冰拿铁两杯。,肯德基:B：老北京鸡肉卷*2,24.9
【中山北路乐业村】仅78元抢原价262元炒螺丝贵妇牛蛙2-3人餐：饮料+锅底+牛蛙+4素+螺丝+鸡翅！88元抢原价306元肚包鸡2-3人餐！超值美味，值得等待~,套餐:肚包鸡2-3人餐,88.0
【全国包邮】39.9元抢市场价69元南昌拌粉210克/7袋，秉承传统风味加入足足7种小料口感丰富，美味加倍,,39.9
